sl_no,gender,ssc_p,ssc_b,hsc_p,hsc_b,hsc_s,degree_p,degree_t,workex,etest_p,specialisation,mba_p,status,salary
1,1,67.0,Others,91.0,Others,Commerce,58.0,Science & Tech,0,55.0,0,58.8,1,270000.0
2,1,79.33,Central,78.33,Others,Science,77.48,Science & Tech,1,86.5,1,66.28,1,200000.0
3,1,65.0,Central,68.0,Central,Arts,64.0,Commerce & Management,0,75.0,1,57.8,1,250000.0
4,1,56.0,Central,52.0,Central,Science,52.0,Science & Tech,0,66.0,0,59.43,0,0.0
5,1,85.8,Central,73.6,Central,Commerce,73.3,Commerce & Management,0,96.8,1,55.5,1,425000.0
6,1,55.0,Others,49.8,Others,Science,67.25,Science & Tech,1,55.0,1,51.58,0,0.0
7,0,46.0,Others,49.2,Others,Commerce,79.0,Commerce & Management,0,74.28,1,53.29,0,0.0
8,1,82.0,Central,64.0,Central,Science,66.0,Science & Tech,1,67.0,1,62.14,1,252000.0
9,1,73.0,Central,79.0,Central,Commerce,72.0,Commerce & Management,0,91.34,1,61.29,1,231000.0
10,1,58.0,Central,70.0,Central,Commerce,61.0,Commerce & Management,0,54.0,1,52.21,0,0.0
11,1,58.0,Central,61.0,Central,Commerce,60.0,Commerce & Management,1,62.0,0,60.85,1,260000.0
12,1,69.6,Central,68.4,Central,Commerce,78.3,Commerce & Management,1,60.0,1,63.7,1,250000.0
13,0,47.0,Central,55.0,Others,Science,65.0,Commerce & Management,0,62.0,0,65.04,0,0.0
14,0,77.0,Central,87.0,Central,Commerce,59.0,Commerce & Management,0,68.0,1,68.63,1,218000.0
15,1,62.0,Central,47.0,Central,Commerce,50.0,Commerce & Management,0,76.0,0,54.96,0,0.0
16,0,65.0,Central,75.0,Central,Commerce,69.0,Commerce & Management,1,72.0,1,64.66,1,200000.0
17,1,63.0,Central,66.2,Central,Commerce,65.6,Commerce & Management,1,60.0,1,62.54,1,300000.0
18,0,55.0,Central,67.0,Central,Commerce,64.0,Commerce & Management,0,60.0,1,67.28,0,0.0
19,0,63.0,Central,66.0,Central,Commerce,64.0,Commerce & Management,0,68.0,0,64.08,0,0.0
20,1,60.0,Others,67.0,Others,Arts,70.0,Commerce & Management,1,50.48,1,77.89,1,236000.0
21,1,62.0,Others,65.0,Others,Commerce,66.0,Commerce & Management,0,50.0,0,56.7,1,265000.0
22,0,79.0,Others,76.0,Others,Commerce,85.0,Commerce & Management,0,95.0,1,69.06,1,393000.0
23,0,69.8,Others,60.8,Others,Science,72.23,Science & Tech,0,55.53,0,68.81,1,360000.0
24,0,77.4,Others,60.0,Others,Science,64.74,Science & Tech,1,92.0,1,63.62,1,300000.0
25,1,76.5,Others,97.7,Others,Science,78.86,Science & Tech,0,97.4,1,74.01,1,360000.0
26,0,52.58,Others,54.6,Central,Commerce,50.2,Commerce & Management,1,76.0,1,65.33,0,0.0
27,1,71.0,Others,79.0,Others,Commerce,66.0,Commerce & Management,1,94.0,1,57.55,1,240000.0
28,1,63.0,Others,67.0,Others,Commerce,66.0,Commerce & Management,0,68.0,0,57.69,1,265000.0
29,1,76.76,Others,76.5,Others,Commerce,67.5,Commerce & Management,1,73.35,1,64.15,1,350000.0
30,1,62.0,Central,67.0,Central,Commerce,58.0,Commerce & Management,0,77.0,1,51.29,0,0.0
31,0,64.0,Central,73.5,Central,Commerce,73.0,Commerce & Management,0,52.0,0,56.7,1,250000.0
32,0,67.0,Central,53.0,Central,Science,65.0,Science & Tech,0,64.0,0,58.32,0,0.0
33,0,61.0,Central,81.0,Central,Commerce,66.4,Commerce & Management,0,50.89,0,62.21,1,278000.0
